scenario_id,feeder,solver,termination_condition,objective_value,violating_buses_before,violating_buses_after,total_violation_before_pu,total_violation_after_pu,min_voltage_before_pu,min_voltage_after_pu,max_abs_q_control_pu,total_abs_q_control_pu
93,radial_9_unseen,appsi_highs,optimal,644.2950427556201,8,8,1.0835150023252857,0.6389150023252858,0.7600302234617627,0.8446302234617628,0.18,0.36
94,radial_9_unseen,appsi_highs,optimal,668.977524739726,8,8,1.1080748217884882,0.6634748217884883,0.7546416800477069,0.8406816800477069,0.18,0.36
95,radial_9_unseen,appsi_highs,optimal,580.0557429844721,8,8,1.0195916940404057,0.5749916940404058,0.7708694144132452,0.8554694144132451,0.18,0.36
96,radial_9_unseen,appsi_highs,optimal,345.40456612527663,8,8,0.786109626072167,0.34150962607216706,0.8097268567026421,0.8957379025285025,0.18,0.36
97,radial_9_unseen,appsi_highs,optimal,591.6312426703424,8,8,1.031113222178321,0.586513222178321,0.7666606921309536,0.8527006921309536,0.18,0.36
98,radial_9_unseen,appsi_highs,optimal,396.8955780303087,8,8,0.8373467209470841,0.3927467209470836,0.799660327960128,0.8857003279601281,0.18,0.36
99,radial_9_unseen,appsi_highs,optimal,685.1833358420822,8,8,1.1241954032335302,0.6795954032335302,0.7550572590397622,0.8396749718627398,0.18,0.36
100,radial_9_unseen,appsi_highs,optimal,755.950701379404,8,8,1.1946142526412253,0.7500142526412253,0.7421133313156962,0.8281533313156962,0.18,0.36
101,radial_9_unseen,appsi_highs,optimal,549.9536169816796,8,8,0.9896400939671096,0.5450400939671091,0.7744228326936853,0.8604628326936854,0.18,0.36
102,radial_9_unseen,appsi_highs,optimal,222.9301112315204,8,7,0.6619133786999184,0.21965748669355267,0.8264954576593637,0.9125354576593637,0.18,0.36
103,radial_9_unseen,appsi_highs,optimal,832.8721249643494,8,8,1.2711511704327814,0.8265511704327817,0.7253153735001525,0.8113553735001525,0.18,0.36
104,radial_9_unseen,appsi_highs,optimal,748.5198829485157,8,8,1.1872165832111352,0.7426165832111348,0.7410168004655195,0.8270568004655195,0.18,0.36
105,radial_9_unseen,appsi_highs,optimal,441.0291446317741,8,8,0.8812596984287249,0.4366596984287249,0.7924796312109009,0.8785196312109009,0.18,0.36
106,radial_9_unseen,appsi_highs,optimal,887.862677065534,8,8,1.3258672427497664,0.8812672427497665,0.7214376917910379,0.8074776917910378,0.18,0.36
107,radial_9_unseen,appsi_highs,optimal,336.6013266402327,8,8,0.7773507330603596,0.3327507330603596,0.8089105324844,0.8949505324844,0.18,0.36
108,radial_9_unseen,appsi_highs,optimal,486.6341657480413,8,8,0.9266347075964765,0.4820347075964765,0.7858094990451727,0.8718494990451727,0.18,0.36
109,radial_9_unseen,appsi_highs,optimal,88.34527747916029,8,7,0.5178718615082901,0.08579428265606925,0.8504174036243526,0.9336888688697995,0.18,0.36
110,radial_9_unseen,appsi_highs,optimal,642.4977491595049,8,8,1.081724062205837,0.637124062205838,0.7595917478533455,0.8456317478533454,0.18,0.36
111,radial_9_unseen,appsi_highs,optimal,490.5505669494975,8,8,0.930533721824019,0.48593372182401895,0.7816741865294948,0.8677141865294948,0.18,0.36
112,radial_9_unseen,appsi_highs,optimal,815.0394120905073,8,8,1.2534067749029418,0.8088067749029415,0.7354158604720512,0.8203625353511775,0.18,0.36
113,radial_9_unseen,appsi_highs,optimal,11.49092378118682,8,2,0.4193412146687865,0.009432734613224247,0.8694254579650087,0.9407929283688545,0.18,0.36
114,radial_9_unseen,appsi_highs,optimal,768.5275504687393,8,8,1.2071254948163836,0.7625254948163824,0.7412469841953696,0.8259658128835989,0.18,0.36
115,radial_9_unseen,appsi_highs,optimal,466.5325132065877,8,8,0.906635050400192,0.46203505040019244,0.7864048792254218,0.8724448792254217,0.18,0.36
116,radial_9_unseen,appsi_highs,optimal,718.5817473248992,8,8,1.1574310684304618,0.712831068430462,0.750738928307281,0.835338928307281,0.18,0.36
117,radial_9_unseen,appsi_highs,optimal,451.89557589780367,8,8,0.8920726143274077,0.4474726143274077,0.7943937181801594,0.8804337181801594,0.18,0.36
118,radial_9_unseen,appsi_highs,optimal,536.9250397395936,8,8,0.9766769825847939,0.5320769825847941,0.7751704848574517,0.8612104848574517,0.18,0.36
119,radial_9_unseen,appsi_highs,optimal,456.3286360477348,8,8,0.8964831032941943,0.45188310329419357,0.7899551397601948,0.8759951397601948,0.18,0.36
