scenario_id,bus,vm_before_pu,vm_after_pu,q_control_pu,violation_before_pu,violation_after_pu,is_violation_before,is_violation_after,feeder
36,9,0.8399068355971463,0.8960668355971462,0.0,0.11009316440285366,0.053933164402853784,1,1,radial_15
36,10,0.8106494111073065,0.8768894111073063,0.0,0.13935058889269347,0.07311058889269362,1,1,radial_15
36,11,0.778487950162456,0.8591279501624558,0.0,0.17151204983754398,0.09087204983754416,1,1,radial_15
36,12,0.7622951507047528,0.8558951507047527,0.18,0.1877048492952471,0.0941048492952472,1,1,radial_15
36,13,0.7631831846320831,0.8729831846320831,0.0,0.18681681536791683,0.07701681536791682,1,1,radial_15
36,14,0.7508894944455365,0.8747294944455366,0.18,0.1991105055544634,0.07527050555446335,1,1,radial_15
37,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
37,1,0.8596219682534406,0.9028219682534406,0.0,0.09037803174655934,0.047178031746559324,1,1,radial_15
37,2,0.7570507765487613,0.8369707765487613,0.0,0.19294922345123866,0.11302922345123867,1,1,radial_15
37,3,0.722237734533865,0.8208777345338649,0.0,0.22776226546613498,0.12912226546613503,1,1,radial_15
37,4,0.7056664420597827,0.8187064420597826,0.18,0.24433355794021727,0.13129355794021735,1,1,radial_15
37,5,0.7175266434900784,0.8082466434900784,0.0,0.2324733565099215,0.1417533565099216,1,1,radial_15
37,6,0.6823182890502718,0.7845582890502717,0.0,0.26768171094972815,0.16544171094972826,1,1,radial_15
37,7,0.650685758248324,0.7666057582483239,0.0,0.299314241751676,0.18339424175167607,1,1,radial_15
37,8,0.6347251963959227,0.7636051963959226,0.18,0.3152748036040772,0.18639480360407734,1,1,radial_15
37,9,0.8054213228881651,0.8615813228881652,0.0,0.1445786771118348,0.08841867711183471,1,1,radial_15
37,10,0.7722488743143829,0.838488874314383,0.0,0.17775112568561702,0.11151112568561694,1,1,radial_15
37,11,0.7361579841146124,0.8167979841146125,0.0,0.21384201588538754,0.1332020158853875,1,1,radial_15
37,12,0.7194241402060996,0.8130241402060996,0.18,0.23057585979390038,0.13697585979390037,1,1,radial_15
37,13,0.7020291204669147,0.8118291204669146,0.0,0.24797087953308528,0.13817087953308538,1,1,radial_15
37,14,0.6863089894112215,0.8101489894112214,0.18,0.2636910105887784,0.13985101058877858,1,1,radial_15
38,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
38,1,0.8529667201707571,0.896166720170757,0.0,0.09703327982924281,0.05383327982924291,1,1,radial_15
38,2,0.7467309396721198,0.8266509396721198,0.0,0.20326906032788017,0.12334906032788018,1,1,radial_15
38,3,0.7101573890012333,0.8087973890012332,0.0,0.2398426109987667,0.14120261099876674,1,1,radial_15
38,4,0.689653301411442,0.802693301411442,0.18,0.26034669858855797,0.14730669858855794,1,1,radial_15
38,5,0.7065270681677862,0.7972470681677861,0.0,0.24347293183221375,0.15275293183221383,1,1,radial_15
38,6,0.6709704627922863,0.7732104627922862,0.0,0.2790295372077136,0.17678953720771373,1,1,radial_15
38,7,0.6398593990155313,0.7557793990155313,0.0,0.3101406009844686,0.1942206009844687,1,1,radial_15
38,8,0.6238838804162342,0.7527638804162341,0.18,0.32611611958376574,0.19723611958376586,1,1,radial_15
38,9,0.7961280329169714,0.8522880329169714,0.0,0.15387196708302853,0.09771196708302854,1,1,radial_15
38,10,0.7605121947085632,0.8267521947085632,0.0,0.18948780529143672,0.12324780529143675,1,1,radial_15
38,11,0.7217217100707917,0.8023617100707916,0.0,0.2282782899292083,0.14763828992920836,1,1,radial_15
38,12,0.7032825251947316,0.7968825251947315,0.18,0.2467174748052684,0.1531174748052685,1,1,radial_15
38,13,0.6882706539174384,0.7980706539174383,0.0,0.2617293460825616,0.1519293460825617,1,1,radial_15
38,14,0.6692307814485621,0.7930707814485619,0.18,0.2807692185514379,0.15692921855143804,1,1,radial_15
39,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
39,1,0.8981945839651445,0.9413945839651445,0.0,0.051805416034855445,0.008605416034855429,1,1,radial_15
39,2,0.8255714273200728,0.9054914273200729,0.0,0.12442857267992713,0.04450857267992703,1,1,radial_15
39,3,0.8008302813252939,0.8994702813252939,0.0,0.14916971867470608,0.050529718674706015,1,1,radial_15
39,4,0.7873400546476713,0.9003800546476715,0.18,0.16265994535232864,0.0496199453523285,1,1,radial_15
39,5,0.7974789027178113,0.8881989027178114,0.0,0.15252109728218866,0.06180109728218852,1,1,radial_15
39,6,0.7731078255914678,0.875347825591468,0.0,0.1768921744085321,0.074652174408532,1,1,radial_15
39,7,0.7528073556622914,0.8687273556622915,0.0,0.19719264433770856,0.08127264433770842,1,1,radial_15
39,8,0.7438989329217155,0.8727789329217156,0.18,0.20610106707828446,0.07722106707828436,1,1,radial_15
39,9,0.8562448980112459,0.9124048980112459,0.0,0.09375510198875403,0.03759510198875404,1,1,radial_15
39,10,0.831125989832852,0.897365989832852,0.0,0.11887401016714794,0.05263401016714797,1,1,radial_15
39,11,0.8067982273575305,0.8874382273575304,0.0,0.14320177264246947,0.06256177264246954,1,1,radial_15
39,12,0.7957330005269546,0.8893330005269545,0.18,0.15426699947304534,0.060666999473045435,1,1,radial_15
39,13,0.7864161491811269,0.8962161491811269,0.0,0.16358385081887306,0.05378385081887305,1,1,radial_15
39,14,0.7743772639054964,0.8982172639054965,0.18,0.17562273609450352,0.051782736094503456,1,1,radial_15
40,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
40,1,0.884946801950752,0.928146801950752,0.0,0.06505319804924792,0.0218531980492479,1,1,radial_15
40,2,0.8001106366436664,0.8800306366436664,0.0,0.14988936335633352,0.06996936335633352,1,1,radial_15
40,3,0.7719834384459586,0.8706234384459586,0.0,0.17801656155404133,0.07937656155404138,1,1,radial_15
40,4,0.7556933371131827,0.8687333371131826,0.18,0.1943066628868173,0.08126666288681739,1,1,radial_15
40,5,0.7665662939554829,0.857286293955483,0.0,0.18343370604451703,0.09271370604451701,1,1,radial_15
40,6,0.7381671088938137,0.8404071088938136,0.0,0.2118328911061863,0.10959289110618631,1,1,radial_15
40,7,0.7128863083127607,0.8288063083127607,0.0,0.23711369168723928,0.12119369168723926,1,1,radial_15
40,8,0.7009336724212638,0.8298136724212638,0.18,0.24906632757873615,0.12018632757873615,1,1,radial_15
40,9,0.8409342478428825,0.8970942478428825,0.0,0.10906575215711745,0.05290575215711746,1,1,radial_15
40,10,0.8143267487109125,0.8805667487109125,0.0,0.13567325128908747,0.0694332512890875,1,1,radial_15
40,11,0.7851344203034412,0.8657744203034412,0.0,0.1648655796965588,0.08422557969655875,1,1,radial_15
40,12,0.7712778049197886,0.8648778049197886,0.18,0.17872219508021137,0.08512219508021135,1,1,radial_15
40,13,0.7551011324616913,0.8649011324616912,0.0,0.19489886753830865,0.08509886753830875,1,1,radial_15
40,14,0.7418230560844039,0.8656630560844037,0.18,0.20817694391559605,0.08433694391559621,1,1,radial_15
41,0,1.0,1.0,0.0,0.0,0.0,0,0,radial_15
41,1,0.9156846241919331,0.9588846241919331,0.0,0.03431537580806687,0.0,1,0,radial_15
41,2,0.8538087283850865,0.9337287283850866,0.0,0.09619127161491348,0.016271271614913374,1,1,radial_15
41,3,0.8330902857250605,0.9317302857250606,0.0,0.11690971427493946,0.018269714274939397,1,1,radial_15
41,4,0.8212704428123945,0.9343104428123945,0.18,0.12872955718760548,0.015689557187605452,1,1,radial_15
41,5,0.8297243468584745,0.9204443468584746,0.0,0.12027565314152544,0.029555653141525307,1,1,radial_15
41,6,0.8092733884988192,0.9115133884988194,0.0,0.1407266115011807,0.0384866115011806,1,1,radial_15
41,7,0.7911822753756321,0.9071022753756323,0.0,0.15881772462436783,0.042897724624367695,1,1,radial_15
41,8,0.7820573910198532,0.9109373910198533,0.18,0.1679426089801468,0.039062608980146685,1,1,radial_15
41,9,0.8836841887791367,0.9398441887791367,0.0,0.06631581122086327,0.010155811220863287,1,1,radial_15
